feature,category,p_mannwhitney,q_mannwhitney,cohens_d,abs_cohens_d,cliffs_delta,abs_cliffs_delta,q_mannwhitney_scientific,subject_level_std,subject_level_unique_count,is_constant,is_near_constant,selected_folds,selection_frequency,mean_abs_l1_coefficient,l1_selected_any,l1_selected_near_constant,tree_importance_mean,tree_importance_std,permutation_importance_mean,permutation_importance_std_across_folds,permutation_importance_positive,xgboost_importance_mean,xgboost_importance_std,rank_xgboost_importance,shap_mean_abs_mean,shap_mean_abs_std,rank_shap_mean_abs,rank_q_mannwhitney,rank_abs_cohens_d,rank_abs_cliffs_delta,rank_selection_frequency,rank_permutation_importance,rank_tree_importance,mean_rank,rank_score,included_in_top10,included_in_top20,included_in_top50
std_delta_delta_log_energy,Delta / Delta-delta,1.0346109586321323e-12,7.68197669471566e-10,0.9122563202203609,0.9122563202203609,0.5966589095744681,0.5966589095744681,7.682e-10,0.007949844354702586,251,False,False,5,1.0,0.6528054453237668,True,False,0.006895918526859166,0.0025417419751887246,0.008333333333333349,0.018633899812498283,True,0.016589468,0.0050181993,4.0,0.15089662,0.094648734,3.0,1.5,24.0,1.0,5.0,1.5,1.0,5.666666666666667,0.1764705882352941,True,True,True
std_6th_delta_delta,Delta / Delta-delta,1.6352329661949703e-10,1.7499748747971465e-08,0.943249609845638,0.943249609845638,0.5352393617021277,0.5352393617021277,1.750e-08,0.006211563348181346,252,False,False,3,0.6,0.28643196074045985,True,False,0.004805861642829465,0.0007516088268099283,0.008333333333333349,0.018633899812498283,True,0.0053592073,0.0012665172,51.0,0.06873751,0.057979647,12.0,7.5,18.0,7.0,45.0,1.5,14.0,15.5,0.06451612903225806,True,True,True
std_8th_delta,Delta / Delta-delta,1.8616753987203686e-10,1.7499748747971465e-08,0.9726315783717896,0.9726315783717896,0.5335771276595744,0.5335771276595744,1.750e-08,0.009980204270499638,252,False,False,2,0.4,0.03160554422102044,True,False,0.004999015367742389,0.0012662580524394735,0.007692307692307709,0.017200522903844575,True,0.006746034,0.0021452738,33.0,0.0444246,0.022714902,23.0,7.5,13.0,8.0,75.5,8.0,12.0,20.666666666666668,0.04838709677419355,True,True,True
std_9th_delta_delta,Delta / Delta-delta,6.754862531500525e-12,1.6932188745627984e-09,1.0085179325866538,1.0085179325866538,0.5746343085106383,0.5746343085106383,1.693e-09,0.004621840252114953,252,False,False,4,0.8,0.27672925287779937,True,False,0.0061206080807831575,0.00099808704992045,0.0,0.0,False,0.018525066,0.006128792,3.0,0.16341962,0.11273548,2.0,3.0,10.0,3.0,21.0,382.5,4.0,70.58333333333333,0.014167650531286895,True,True,True
std_7th_delta_delta,Delta / Delta-delta,4.176147075984536e-11,6.280925202280742e-09,0.977511800983967,0.977511800983967,0.5524434840425532,0.5524434840425532,6.281e-09,0.005503259858658112,251,False,False,3,0.6,0.282372147046507,True,False,0.00414867323311018,0.0009240037443128924,0.0,0.0,False,0.012629816,0.01043063,6.0,0.051104266,0.025221588,20.0,5.0,12.0,5.0,45.0,382.5,27.0,79.41666666666667,0.012591815320041971,True,True,True
tqwt_TKEO_std_dec_12,TQWT,6.260854870501024e-10,3.178516003197327e-08,-0.9410496437361965,0.9410496437361965,-0.5177859042553191,0.5177859042553191,3.179e-08,0.0036730653855481885,252,False,False,3,0.6,0.1221928606643318,True,False,0.005205633367260978,0.001592754990940121,0.0,0.0,False,0.011272786,0.015596732,9.0,0.008547756,0.01335678,97.0,14.5,19.0,14.0,45.0,382.5,10.0,80.83333333333333,0.012371134020618558,True,True,True
tqwt_minValue_dec_12,TQWT,1.6512680503749006e-09,5.173973224508022e-08,1.0913698240173306,1.0913698240173306,0.5048204787234043,0.5048204787234043,5.174e-08,0.08771895730578913,252,False,False,2,0.4,0.04022710671032005,True,False,0.006314008138996981,0.0017900981093541383,0.0,0.0,False,0.006232475,0.007469391,41.0,0.016369069,0.022447098,62.0,24.0,1.0,24.0,75.5,382.5,3.0,85.0,0.011764705882352941,True,True,True
std_9th_delta,Delta / Delta-delta,2.740766171756412e-10,2.2704711887461153e-08,0.9353046159274793,0.9353046159274793,0.5285904255319149,0.5285904255319149,2.270e-08,0.009858824007424775,252,False,False,2,0.4,0.08054507712453307,True,False,0.004703828848728009,0.0003756775721606621,0.0,0.0,False,0.010327415,0.015917322,11.0,0.014505789,0.014242615,69.0,10.0,20.0,9.0,75.5,382.5,17.0,85.66666666666667,0.011673151750972763,True,True,True
mean_MFCC_2nd_coef,MFCC,1.5817332008551168e-09,5.171579856708904e-08,1.0415318809233083,1.0415318809233083,0.5054022606382979,0.5054022606382979,5.172e-08,1.6008244386502515,251,False,False,2,0.4,0.01911750936349831,True,False,0.005431947073541554,0.0017505392215847087,0.0,0.0,False,0.008088524,0.008256293,19.0,0.023090947,0.023151882,43.0,23.0,6.0,23.0,75.5,382.5,7.0,86.16666666666667,0.011605415860735008,True,True,True
tqwt_TKEO_std_dec_11,TQWT,7.799780783582766e-09,1.7157802940214766e-07,-0.9238454469745742,0.9238454469745742,-0.4833776595744681,0.4833776595744681,1.716e-07,0.0016180764896734144,252,False,False,2,0.4,0.1672320241008019,True,False,0.004470460609530726,0.0016328919411038826,0.0,0.0,False,0.0030997638,0.0042566257,111.0,0.0025312817,0.0037923283,199.0,34.5,23.0,34.0,75.5,382.5,21.0,95.08333333333333,0.010517090271691499,True,True,True
